,round,year,company,segment,name,UnitSold,UnitInvent,RevDate,Age,MTBF,Pfmm,Size,Price,MatCost,LaborCost,ContrMarg,SecShiftOverTime,AutomationNextRd,CapNextRd,PlantUtilz,market_cap,market_size,performance_center,performance_ideal,size_center,size_ideal,AGE_ideal,PRICE_L,PRICE_H,MTBF_L,MTBF_H,radius,distance,distance_ideal
91,2.0,2023.0,Ferris,Size,Fume,578.0,109.0,2023-05-06,1.8,18000.0,4.4,9.4,34.0,12.49,8.52,0.36,0.08,4.0,600.0,1.07,2777.0,0.1,4.4,5.4,10.0,8.6,1.5,24.0,34.0,16000.0,21000.0,1,1.2806248474865702,0
92,2.0,2023.0,Ferris,Traditional,Fast,1044.0,392.0,2022-03-26,3.4,19000.0,5.4,14.6,28.0,10.16,8.54,0.29,0.81,5.0,800.0,1.79,8809.0,0.3,6.4,6.4,13.6,13.6,2.0,21.5,31.5,14000.0,19000.0,1,1.4142135623730951,0
93,3.0,2024.0,Andrews,High End,ANew1,396.0,0.0,2024-01-03,1.0,24000.0,11.0,8.0,38.49,16.32,9.85,0.31,0.0,3.0,600.0,0.66,4007.0,0.12,10.2,11.6,9.8,8.4,0.0,28.5,38.5,20000.0,25000.0,1,0.7211102550927978,0
94,3.0,2024.0,Andrews,High End,Adam,652.0,239.0,2023-05-06,3.2,23000.0,9.5,10.0,37.99,14.47,9.85,0.32,0.0,3.0,900.0,0.99,4007.0,0.12,10.2,11.6,9.8,8.4,0.0,28.5,38.5,20000.0,25000.0,1,2.6400757564888164,0
95,3.0,2024.0,Andrews,Low End,Acre,1579.0,996.0,2017-05-25,7.6,14000.0,3.0,17.0,20.49,5.79,7.51,0.29,0.86,6.0,1400.0,1.84,12487.0,0.38,4.0,3.2,16.0,16.8,7.0,13.5,23.5,12000.0,17000.0,1,0.2828427124746186,0
96,3.0,2024.0,Andrews,NA,ANew2,0.0,0.0,2025-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,600.0,0,,,,,,,,,,,,1,,0
97,3.0,2024.0,Andrews,Performance,Aft,449.0,121.0,2025-04-04,5.5,27000.0,9.4,15.5,32.99,13.63,8.62,0.29,0.0,4.0,600.0,0.83,3293.0,0.1,11.0,12.4,14.9,13.9,1.0,23.5,33.5,22000.0,27000.0,1,3.4,0
98,3.0,2024.0,Andrews,Size,Agape,134.0,172.0,2019-05-25,5.6,19000.0,4.0,11.0,31.99,10.88,8.62,0.24,0.0,4.0,600.0,0,3285.0,0.1,5.1,6.1,9.0,7.6,1.5,23.5,33.5,16000.0,21000.0,1,3.996248240537617,0
99,3.0,2024.0,Andrews,Traditional,Able,1461.0,179.0,2024-06-23,2.2,17500.0,6.5,13.0,27.99,10.17,8.01,0.34,0.0,4.5,1800.0,0.72,9619.0,0.29,7.1,7.1,12.9,12.9,2.0,21.0,31.0,14000.0,19000.0,1,0.6082762530298216,0
100,3.0,2024.0,Baldwin,High End,Bid,270.0,0.0,2024-01-31,2.8,23000.0,10.7,9.3,37.0,0.0,0.0,0.36,0.0,3.0,1.0,0,4007.0,0.12,10.2,11.6,9.8,8.4,0.0,28.5,38.5,20000.0,25000.0,1,1.272792206135786,0
101,3.0,2024.0,Baldwin,Low End,Bead,3228.0,988.0,2017-05-25,7.6,14000.0,3.0,17.0,19.5,5.56,3.99,0.48,0.85,9.0,2400.0,1.83,12487.0,0.38,4.0,3.2,16.0,16.8,7.0,13.5,23.5,12000.0,17000.0,1,0.2828427124746186,0
102,3.0,2024.0,Baldwin,NA,Baker2,0.0,0.0,2025-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,450.0,0,,,,,,,,,,,,1,,0
103,3.0,2024.0,Baldwin,NA,Bid2,0.0,0.0,2024-06-30,0.5,23000.0,12.5,7.5,20.0,0.0,0.0,0.0,0.0,3.0,400.0,0,,,,,,,,,,,,1,,0
104,3.0,2024.0,Baldwin,Performance,Bold,782.0,0.0,2024-01-03,2.5,27000.0,11.4,14.6,33.5,14.4,8.74,0.28,0.0,3.0,600.0,0.92,3293.0,0.1,11.0,12.4,14.9,13.9,1.0,23.5,33.5,22000.0,27000.0,1,1.2206555615733699,0
105,3.0,2024.0,Baldwin,Size,Buddy,1002.0,0.0,2024-01-09,2.5,20000.0,5.4,9.0,33.5,12.16,9.78,0.33,0.33,3.0,600.0,1.32,3285.0,0.1,5.1,6.1,9.0,7.6,1.5,23.5,33.5,16000.0,21000.0,1,1.5652475842498528,0
106,3.0,2024.0,Baldwin,Traditional,Baker,1957.0,465.0,2024-08-16,1.6,17500.0,7.1,12.9,29.0,10.05,7.33,0.39,0.33,9.0,1800.0,1.32,9619.0,0.29,7.1,7.1,12.9,12.9,2.0,21.0,31.0,14000.0,19000.0,1,0.0,0
107,3.0,2024.0,Chester,Low End,Cedar,2772.0,0.0,2017-05-25,7.6,14000.0,3.0,17.0,19.7,5.77,4.48,0.47,1.0,8.0,1400.0,1.98,12487.0,0.38,4.0,3.2,16.0,16.8,7.0,13.5,23.5,12000.0,17000.0,1,0.2828427124746186,0
108,3.0,2024.0,Chester,NA,C_PI,0.0,0.0,2024-07-15,0.5,27000.0,13.4,13.2,33.3,0.0,0.0,0.0,0.0,5.0,400.0,0,,,,,,,,,,,,1,,0
109,3.0,2024.0,Chester,Performance,Coat,1238.0,0.0,2024-08-08,2.0,27000.0,12.4,13.9,33.5,15.69,8.81,0.28,0.83,5.0,600.0,1.82,3293.0,0.1,11.0,12.4,14.9,13.9,1.0,23.5,33.5,22000.0,27000.0,1,0.0,0
110,3.0,2024.0,Chester,Size,Cure,317.0,0.0,2024-12-23,1.9,19000.0,6.1,11.0,33.0,11.42,9.66,0.35,0.0,3.0,600.0,0.53,3285.0,0.1,5.1,6.1,9.0,7.6,1.5,23.5,33.5,16000.0,21000.0,1,3.4000000000000004,0
111,3.0,2024.0,Chester,Traditional,Cake,911.0,0.0,2022-05-05,4.4,14000.0,5.7,14.3,22.0,8.15,3.62,0.4,0.0,8.0,1200.0,0.58,9619.0,0.29,7.1,7.1,12.9,12.9,2.0,21.0,31.0,14000.0,19000.0,1,1.979898987322333,0
112,3.0,2024.0,Chester,Traditional,Cid,1846.0,5.0,2024-01-18,2.8,19000.0,6.8,13.0,28.3,10.7,11.95,0.19,1.0,7.0,900.0,1.98,9619.0,0.29,7.1,7.1,12.9,12.9,2.0,21.0,31.0,14000.0,19000.0,1,0.31622776601683766,0
113,3.0,2024.0,Digby,High End,DeeNee,792.0,0.0,2024-09-06,0.9,22000.0,11.0,9.0,39.0,15.24,12.17,0.3,1.0,5.0,700.0,1.98,4007.0,0.12,10.2,11.6,9.8,8.4,0.0,28.5,38.5,20000.0,25000.0,1,0.8485281374238566,0
114,3.0,2024.0,Digby,Low End,Dell,2114.0,1408.0,2022-01-29,7.6,12000.0,3.0,17.0,17.0,5.18,4.92,0.24,0.0,7.0,1600.0,0.99,12487.0,0.38,4.0,3.2,16.0,16.8,7.0,13.5,23.5,12000.0,17000.0,1,0.2828427124746186,0
115,3.0,2024.0,Digby,Performance,Dot,585.0,263.0,2025-08-16,2.8,27000.0,10.5,15.0,32.0,14.35,9.84,0.19,0.0,3.0,600.0,0.99,3293.0,0.1,11.0,12.4,14.9,13.9,1.0,23.5,33.5,22000.0,27000.0,1,2.195449840010015,0
116,3.0,2024.0,Digby,Size,Dune,813.0,0.0,2024-10-17,1.5,19000.0,5.7,8.1,32.0,12.93,9.84,0.3,0.0,3.0,600.0,0.99,3285.0,0.1,5.1,6.1,9.0,7.6,1.5,23.5,33.5,16000.0,21000.0,1,0.6403124237432846,0
117,3.0,2024.0,Digby,Traditional,Daze,1570.0,921.0,2024-08-29,1.7,17500.0,6.8,13.0,25.0,10.27,7.38,0.21,0.0,5.0,1800.0,0.99,9619.0,0.29,7.1,7.1,12.9,12.9,2.0,21.0,31.0,14000.0,19000.0,1,0.31622776601683766,0
118,3.0,2024.0,Digby,Traditional,Duck,371.0,324.0,2020-04-18,4.7,23000.0,8.0,12.0,25.0,0.0,0.0,-0.06,0.0,3.0,300.0,0,9619.0,0.29,7.1,7.1,12.9,12.9,2.0,21.0,31.0,14000.0,19000.0,1,1.272792206135786,0
119,3.0,2024.0,Erie,High End,Elite,1172.0,0.0,2024-02-27,1.1,25000.0,11.6,9.0,38.5,16.43,10.78,0.29,1.0,5.0,600.0,1.95,4007.0,0.12,10.2,11.6,9.8,8.4,0.0,28.5,38.5,20000.0,25000.0,1,0.5999999999999996,0
120,3.0,2024.0,Erie,Low End,Ebb,2116.0,107.0,2017-05-25,7.6,14000.0,3.0,17.0,21.0,5.79,7.47,0.32,0.0,6.0,1400.0,0.98,12487.0,0.38,4.0,3.2,16.0,16.8,7.0,13.5,23.5,12000.0,17000.0,1,0.2828427124746186,0
121,3.0,2024.0,Erie,NA,Echo,0.0,0.0,2023-07-31,3.1,24000.0,9.8,10.0,39.0,0.0,0.0,0.0,0.0,4.0,900.0,0,,,,,,,,,,,,1,,0
122,3.0,2024.0,Erie,NA,Elon,0.0,0.0,2025-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,600.0,0,,,,,,,,,,,,1,,0
123,3.0,2024.0,Erie,Size,Egg,427.0,361.0,2024-12-24,1.9,19000.0,6.8,6.6,34.0,14.09,8.72,0.31,0.0,4.0,600.0,0.98,3285.0,0.1,5.1,6.1,9.0,7.6,1.5,23.5,33.5,16000.0,21000.0,1,1.2206555615733703,0
124,3.0,2024.0,Erie,Traditional,Eat,1756.0,1065.0,2025-02-12,3.0,17500.0,6.4,13.6,28.5,9.84,6.55,0.37,0.56,7.5,1800.0,1.52,9619.0,0.29,7.1,7.1,12.9,12.9,2.0,21.0,31.0,14000.0,19000.0,1,0.9899494936611655,0
125,3.0,2024.0,Ferris,High End,Fist,644.0,0.0,2024-09-25,1.4,24000.0,10.5,9.4,39.0,15.47,8.61,0.39,0.0,4.0,950.0,0.72,4007.0,0.12,10.2,11.6,9.8,8.4,0.0,28.5,38.5,20000.0,25000.0,1,1.4866068747318502,0
126,3.0,2024.0,Ferris,Performance,Foam,242.0,0.0,2024-10-26,1.4,24000.0,11.0,14.4,34.0,13.92,8.61,0.35,0.0,4.0,600.0,0.25,3293.0,0.1,11.0,12.4,14.9,13.9,1.0,23.5,33.5,22000.0,27000.0,1,1.4866068747318508,0
